"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SLC9A3R26",4.22251445334912e-40,0.411718936527495,0.852,0.778,8.44502890669823e-37,"26","SLC9A3R2"
"TGM26",4.69941635475189e-40,0.436522980817644,0.871,0.849,9.39883270950378e-37,"26","TGM2"
"DUOXA22",7.27816101245847e-40,0.395491124790268,0.788,0.681,1.45563220249169e-36,"26","DUOXA2"
"KLF58",1.18735402994089e-39,0.342688201067148,0.871,0.712,2.37470805988179e-36,"26","KLF5"
"BIRC39",1.65842161263813e-39,0.696838164731316,0.942,0.86,3.31684322527626e-36,"26","BIRC3"
"LGALS46",2.87077558734274e-39,0.27614103769714,0.945,0.756,5.74155117468549e-36,"26","LGALS4"
"RAMP16",3.93493779203917e-39,0.261455271751293,0.896,0.826,7.86987558407833e-36,"26","RAMP1"
"HMGA15",4.75773990290944e-39,0.403302044195509,0.901,0.741,9.51547980581888e-36,"26","HMGA1"
"WDR727",1.50746071741477e-38,0.437818558382768,0.824,0.854,3.01492143482953e-35,"26","WDR72"
"HMGA24",2.81205215144099e-38,0.349879510967469,0.783,0.748,5.62410430288197e-35,"26","HMGA2"
"VSIG23",4.36520604684566e-38,0.255918054847089,0.808,0.649,8.73041209369132e-35,"26","VSIG2"
"EPS8L14",7.84736559798883e-38,0.274006500366646,0.848,0.783,1.56947311959777e-34,"26","EPS8L1"
"LDLR5",1.02855775047144e-37,0.349467471621668,0.908,0.78,2.05711550094287e-34,"26","LDLR"
"ERO1A7",1.11631426232621e-37,0.391675989910131,0.968,0.896,2.23262852465241e-34,"26","ERO1A"
"PHLDA26",1.83315189058041e-37,0.316470039718933,0.956,0.887,3.66630378116083e-34,"26","PHLDA2"
"ITGB66",2.43149014916632e-37,0.266387293520223,0.894,0.837,4.86298029833264e-34,"26","ITGB6"
"PDLIM45",7.01726969197714e-37,0.295166186857349,0.831,0.766,1.40345393839543e-33,"26","PDLIM4"
"TMEM2387",8.57505953067598e-37,0.307383325205639,0.912,0.699,1.7150119061352e-33,"26","TMEM238"
"TIMP16",1.06996162748319e-36,0.289611974676888,0.982,0.899,2.13992325496638e-33,"26","TIMP1"
"DEPP16",1.41326505588563e-36,0.324137746535701,0.898,0.889,2.82653011177125e-33,"26","DEPP1"
"GALNT54",1.86209891473394e-36,0.391159579725283,0.792,0.71,3.72419782946788e-33,"26","GALNT5"
"JAG18",6.12607001032583e-36,0.278284917686461,0.866,0.777,1.22521400206517e-32,"26","JAG1"
"CD557",1.14563991390743e-35,0.482883281340727,0.942,0.876,2.29127982781487e-32,"26","CD55"
"MGLL7",1.32874006745304e-35,0.448040221554616,0.834,0.689,2.65748013490609e-32,"26","MGLL"
"TNFRSF12A7",3.13123771420678e-35,0.396433260513914,0.891,0.76,6.26247542841355e-32,"26","TNFRSF12A"
"KRT87",4.40622629561583e-35,0.361991416289342,0.975,0.828,8.81245259123167e-32,"26","KRT8"
"NT5E3",1.13824757393851e-34,0.385166310669715,0.79,0.693,2.27649514787703e-31,"26","NT5E"
